Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
Q9UHD1	CHRD1_HUMAN	reviewed	Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (CHP-1) (Protein morgana)	CHORDC1 CHP1	Homo sapiens (Human)	2008-02-05	2019-01-16	chaperone-mediated protein folding [GO:0061077]; negative regulation of Rho-dependent protein serine/threonine kinase activity [GO:2000299]; regulation of cellular response to heat [GO:1900034]; regulation of centrosome duplication [GO:0010824]	26973	2YRT
Q7LFL8	CXXC5_HUMAN	reviewed	CXXC-type zinc finger protein 5 (CF5) (Putative MAPK-activating protein PM08) (Putative NF-kappa-B-activating protein 102) (Retinoid-inducible nuclear factor) (RINF)	CXXC5 HSPC195 TCCCIA00297	Homo sapiens (Human)	2008-02-05	2019-01-16	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]	51523	5W9S
Q7Z4V5	HDGR2_HUMAN	reviewed	Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL2 HDGF2 HDGFRP2 HRP2 UNQ785/PRO1604	Homo sapiens (Human)	2008-02-05	2019-01-16	positive regulation of cell growth [GO:0030307]	84717	3QBY
Q2YD98	UVSSA_HUMAN	reviewed	UV-stimulated scaffold protein A	UVSSA KIAA1530	Homo sapiens (Human)	2008-02-05	2019-01-16	protein ubiquitination [GO:0016567]; response to UV [GO:0009411]; transcription-coupled nucleotide-excision repair [GO:0006283]	57654	5XV8
Q53ET0	CRTC2_HUMAN	reviewed	CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2)	CRTC2 TORC2	Homo sapiens (Human)	2008-02-05	2019-01-16	gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; histone H3-K9 acetylation [GO:0043970]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein homotetramerization [GO:0051289]; toxin transport [GO:1901998]; viral process [GO:0016032]	200186	4HTM
Q6UWW0	LCN15_HUMAN	reviewed	Lipocalin-15	LCN15 UNQ2541/PRO6093	Homo sapiens (Human)	2008-02-05	2019-01-16		389812	2XST
Q6ZUM4	RHG27_HUMAN	reviewed	Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20)	ARHGAP27 CAMGAP1 SH3D20 PP905	Homo sapiens (Human)	2008-02-05	2019-01-16	positive regulation of GTPase activity [GO:0043547]; receptor-mediated endocytosis [GO:0006898]; regulation of GTPase activity [GO:0043087]; signal transduction [GO:0007165]	201176	3PP2
Q9P270	SLAI2_HUMAN	reviewed	SLAIN motif-containing protein 2	SLAIN2 KIAA1458	Homo sapiens (Human)	2008-02-05	2019-01-16	cytoplasmic microtubule organization [GO:0031122]; microtubule nucleation [GO:0007020]; positive regulation of microtubule polymerization [GO:0031116]	57606	3RDV
Q7LDG7	GRP2_HUMAN	reviewed	RAS guanyl-releasing protein 2 (Calcium and DAG-regulated guanine nucleotide exchange factor I) (CalDAG-GEFI) (Cdc25-like protein) (hCDC25L) (F25B3.3 kinase-like protein)	RASGRP2 CDC25L MCG7	Homo sapiens (Human)	2008-01-15	2019-01-16	cellular response to calcium ion [GO:0071277]; positive regulation of GTPase activity [GO:0043547]; Ras protein signal transduction [GO:0007265]; regulation of cell growth [GO:0001558]; signal transduction [GO:0007165]	10235	2MA2
Q8N9N8	EIF1A_HUMAN	reviewed	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)	EIF1AD	Homo sapiens (Human)	2008-01-15	2019-01-16		84285	2DGY
Q6P1N9	TATD1_HUMAN	reviewed	Putative deoxyribonuclease TATDN1 (EC 3.1.21.-) (Hepatocarcinoma high expression protein)	TATDN1 CDA11	Homo sapiens (Human)	2008-01-15	2019-01-16		83940	2XIO
Q9Y320	TMX2_HUMAN	reviewed	Thioredoxin-related transmembrane protein 2 (Cell proliferation-inducing gene 26 protein) (Thioredoxin domain-containing protein 14)	TMX2 TXNDC14 CGI-31 My009 PIG26 PSEC0045 UNQ237/PRO270	Homo sapiens (Human)	2008-01-15	2019-01-16	cell redox homeostasis [GO:0045454]	51075	2DJ0
Q96HR8	NAF1_HUMAN	reviewed	H/ACA ribonucleoprotein complex non-core subunit NAF1 (hNAF1)	NAF1	Homo sapiens (Human)	2008-01-15	2019-01-16	box H/ACA snoRNP assembly [GO:0000493]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; ribosome biogenesis [GO:0042254]; RNA stabilization [GO:0043489]; snoRNA guided rRNA pseudouridine synthesis [GO:0000454]; telomerase holoenzyme complex assembly [GO:1905323]; telomerase RNA stabilization [GO:0090669]	92345	2EQN
Q8NBF2	NHLC2_HUMAN	reviewed	NHL repeat-containing protein 2	NHLRC2	Homo sapiens (Human)	2008-01-15	2019-01-16	cell redox homeostasis [GO:0045454]; platelet degranulation [GO:0002576]	374354	6G7W
Q56A73	SPIN4_HUMAN	reviewed	Spindlin-4	SPIN4	Homo sapiens (Human)	2008-01-15	2019-01-16	gamete generation [GO:0007276]	139886	4UY4
Q5T1C6	THEM4_HUMAN	reviewed	Acyl-coenzyme A thioesterase THEM4 (Acyl-CoA thioesterase THEM4) (EC 3.1.2.2) (Carboxyl-terminal modulator protein) (Thioesterase superfamily member 4)	THEM4 CTMP	Homo sapiens (Human)	2008-01-15	2019-01-16	acyl-CoA metabolic process [GO:0006637]; fatty acid metabolic process [GO:0006631]; negative regulation of protein kinase B signaling [GO:0051898]; protein kinase B signaling [GO:0043491]; regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902108]	117145	4AE8
Q9GZN7	ROGDI_HUMAN	reviewed	Protein rogdi homolog	ROGDI	Homo sapiens (Human)	2008-01-15	2019-01-16	brain development [GO:0007420]; developmental process [GO:0032502]; hemopoiesis [GO:0030097]; neurogenesis [GO:0022008]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of cell proliferation [GO:0008284]; vacuolar acidification [GO:0007035]	79641	5XQH
Q4VC44	FWCH1_HUMAN	reviewed	FLYWCH-type zinc finger-containing protein 1	FLYWCH1 KIAA1552	Homo sapiens (Human)	2008-01-15	2019-01-16		84256	2RPR
Q5H9F3	BCORL_HUMAN	reviewed	BCL-6 corepressor-like protein 1 (BCoR-L1) (BCoR-like protein 1)	BCORL1	Homo sapiens (Human)	2007-12-04	2019-01-16	chromatin organization [GO:0006325]	63035	4HPM
Q9BSW7	SYT17_HUMAN	reviewed	Synaptotagmin-17 (Protein B/K) (Synaptotagmin XVII) (SytXVII)	SYT17	Homo sapiens (Human)	2007-12-04	2019-01-16	calcium ion regulated exocytosis [GO:0017156]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; cellular response to calcium ion [GO:0071277]; positive regulation of dendrite extension [GO:1903861]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]	51760	2ENP
Q9Y2M0	FAN1_HUMAN	reviewed	Fanconi-associated nuclease 1 (EC 3.1.21.-) (EC 3.1.4.1) (FANCD2/FANCI-associated nuclease 1) (hFAN1) (Myotubularin-related protein 15)	FAN1 KIAA1018 MTMR15	Homo sapiens (Human)	2007-11-13	2019-01-16	DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA incision [GO:0033683]	22909	4REC
Q9HAJ7	SP30L_HUMAN	reviewed	Histone deacetylase complex subunit SAP30L (HCV non-structural protein 4A-transactivated protein 2) (Sin3 corepressor complex subunit SAP30L) (Sin3-associated protein p30-like)	SAP30L NS4ATP2	Homo sapiens (Human)	2007-11-13	2019-01-16	negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription, DNA-templated [GO:0006355]	79685	2N1U
Q96LT9	RNPC3_HUMAN	reviewed	RNA-binding region-containing protein 3 (RNA-binding motif protein 40) (RNA-binding protein 40) (U11/U12 small nuclear ribonucleoprotein 65 kDa protein) (U11/U12 snRNP 65 kDa protein) (U11/U12-65K)	RNPC3 KIAA1839 RBM40 RNP SNRNP65	Homo sapiens (Human)	2007-11-13	2019-01-16	mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]	55599	5OBN
Q7L0Y3	TM10C_HUMAN	reviewed	tRNA methyltransferase 10 homolog C (HBV pre-S2 trans-regulated protein 2) (Mitochondrial ribonuclease P protein 1) (Mitochondrial RNase P protein 1) (RNA (guanine-9-)-methyltransferase domain-containing protein 1) (Renal carcinoma antigen NY-REN-49) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-) (tRNA (adenine(9)-N(1))-methyltransferase) (EC 2.1.1.218) (tRNA (guanine(9)-N(1))-methyltransferase) (EC 2.1.1.221)	TRMT10C MRPP1 RG9MTD1	Homo sapiens (Human)	2007-11-13	2019-01-16	mitochondrial RNA 5'-end processing [GO:0000964]; mitochondrial tRNA 3'-end processing [GO:1990180]; mitochondrial tRNA 5'-end processing [GO:0097745]; mitochondrial tRNA processing [GO:0090646]; mRNA methylation [GO:0080009]; positive regulation of mitochondrial translation [GO:0070131]	54931	5NFJ
Q8IYB8	SUV3_HUMAN	reviewed	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	SUPV3L1 SUV3	Homo sapiens (Human)	2007-11-13	2019-01-16	chromatin maintenance [GO:0070827]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; mitochondrial mRNA catabolic process [GO:0000958]; mitochondrial mRNA surveillance [GO:0035946]; mitochondrial ncRNA surveillance [GO:0035945]; mitochondrial RNA 3'-end processing [GO:0000965]; mitochondrial RNA surveillance [GO:2000827]; mitochondrion morphogenesis [GO:0070584]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell growth [GO:0030307]; positive regulation of mitochondrial RNA catabolic process [GO:0000962]; RNA catabolic process [GO:0006401]	6832	3RC3
Q53GL0	PKHO1_HUMAN	reviewed	Pleckstrin homology domain-containing family O member 1 (PH domain-containing family O member 1) (C-Jun-binding protein) (JBP) (Casein kinase 2-interacting protein 1) (CK2-interacting protein 1) (CKIP-1) (Osteoclast maturation-associated gene 120 protein)	PLEKHO1 CKIP1 OC120 HQ0024c	Homo sapiens (Human)	2007-11-13	2019-01-16	lamellipodium morphogenesis [GO:0072673]; myoblast fusion [GO:0007520]; myoblast migration [GO:0051451]; regulation of cell shape [GO:0008360]	51177	3AA1
Q9H6Y5	MAGIX_HUMAN	reviewed	PDZ domain-containing protein MAGIX	MAGIX	Homo sapiens (Human)	2007-11-13	2019-01-16		79917	2DJT
Q8TBZ6	TM10A_HUMAN	reviewed	tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	TRMT10A RG9MTD2	Homo sapiens (Human)	2007-11-13	2019-01-16	tRNA methylation [GO:0030488]	93587	4FMW
Q8TBC3	SHKB1_HUMAN	reviewed	SH3KBP1-binding protein 1 (SETA-binding protein 1)	SHKBP1 SB1 PP203	Homo sapiens (Human)	2007-10-23	2019-01-16	positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; protein homooligomerization [GO:0051260]	92799	4CRH
Q2M1K9	ZN423_HUMAN	reviewed	Zinc finger protein 423 (Olf1/EBF-associated zinc finger protein) (hOAZ) (Smad- and Olf-interacting zinc finger protein)	ZNF423 KIAA0760 NPHP14 OAZ	Homo sapiens (Human)	2007-10-23	2019-01-16	cell differentiation [GO:0030154]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of transcription, DNA-templated [GO:0045892]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	23090	2MDG
Q9NWS0	PIHD1_HUMAN	reviewed	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)	PIH1D1 NOP17	Homo sapiens (Human)	2007-10-23	2019-01-16	box C/D snoRNP assembly [GO:0000492]; chromatin remodeling [GO:0006338]; epithelial cell differentiation [GO:0030855]; establishment of protein localization to chromatin [GO:0071169]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001268]; negative regulation of histone H3-K9 dimethylation [GO:1900110]; negative regulation of histone H3-K9 trimethylation [GO:1900113]; negative regulation of histone H4-K16 acetylation [GO:2000619]; positive regulation of glucose mediated signaling pathway [GO:1902661]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of histone H4 acetylation [GO:0090240]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]; regulation of histone H3-K4 methylation [GO:0051569]; rRNA processing [GO:0006364]; snoRNA localization [GO:0048254]	55011	4PSF
Q5T7N2	LITD1_HUMAN	reviewed	LINE-1 type transposase domain-containing protein 1 (ES cell-associated protein 11)	L1TD1 ECAT11	Homo sapiens (Human)	2007-10-23	2019-01-16	transposition, RNA-mediated [GO:0032197]	54596	2LR6
A0AV96	RBM47_HUMAN	reviewed	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	2007-10-23	2019-01-16	cytidine to uridine editing [GO:0016554]; hematopoietic progenitor cell differentiation [GO:0002244]	54502	2DIS
Q9NX09	DDIT4_HUMAN	reviewed	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	Homo sapiens (Human)	2007-10-23	2019-01-16	brain development [GO:0007420]; cell proliferation [GO:0008283]; cellular response to dexamethasone stimulus [GO:0071549]; defense response to virus [GO:0051607]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of glycolytic process [GO:0045820]; negative regulation of intracellular signal transduction [GO:1902532]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of TOR signaling [GO:0032007]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of neuron death [GO:1901216]; protein-containing complex disassembly [GO:0032984]; reactive oxygen species metabolic process [GO:0072593]; response to hypoxia [GO:0001666]	54541	3LQ9
Q9P2J2	TUTLA_HUMAN	reviewed	Protein turtle homolog A (Immunoglobulin superfamily member 9A) (IgSF9A)	IGSF9 IGSF9A KIAA1355 NRT1	Homo sapiens (Human)	2007-10-02	2019-01-16	axon guidance [GO:0007411]; dendrite development [GO:0016358]; dendrite self-avoidance [GO:0070593]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of synapse organization [GO:0050807]	57549	1V5J
Q9H008	LHPP_HUMAN	reviewed	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (hLHPP) (EC 3.1.3.-) (EC 3.6.1.1)	LHPP	Homo sapiens (Human)	2007-10-02	2019-01-16	dephosphorylation [GO:0016311]; phosphate-containing compound metabolic process [GO:0006796]; protein dephosphorylation [GO:0006470]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	64077	2X4D
Q96JA3	PKHA8_HUMAN	reviewed	Pleckstrin homology domain-containing family A member 8 (PH domain-containing family A member 8) (Phosphatidylinositol-four-phosphate adapter protein 2) (FAPP-2) (Phosphoinositol 4-phosphate adapter protein 2) (hFAPP2) (Serologically defined breast cancer antigen NY-BR-86)	PLEKHA8 FAPP2	Homo sapiens (Human)	2007-10-02	2019-01-16	ceramide transport [GO:0035627]; ER to Golgi ceramide transport [GO:0035621]; intermembrane lipid transfer [GO:0120009]; lipid transport [GO:0006869]; phosphatidylinositol biosynthetic process [GO:0006661]; protein transport [GO:0015031]	84725	5KDI
Q5SYB0	FRPD1_HUMAN	reviewed	FERM and PDZ domain-containing protein 1 (FERM domain-containing protein 2)	FRMPD1 FRMD2 KIAA0967	Homo sapiens (Human)	2007-10-02	2019-01-16	establishment of protein localization to membrane [GO:0090150]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]	22844	2EDV
A6NK44	GLOD5_HUMAN	reviewed	Glyoxalase domain-containing protein 5	GLOD5	Homo sapiens (Human)	2007-10-02	2019-01-16		392465	3ZW5
A1A4S6	RHG10_HUMAN	reviewed	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	2007-10-02	2019-01-16	cytoskeleton organization [GO:0007010]; negative regulation of apoptotic process [GO:0043066]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	79658	2MIO
Q8TDR0	MIPT3_HUMAN	reviewed	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3) (MIP-T3)	TRAF3IP1 IFT54 MIPT3	Homo sapiens (Human)	2007-09-11	2019-01-16	embryonic camera-type eye development [GO:0031076]; embryonic digit morphogenesis [GO:0042733]; embryonic heart tube development [GO:0035050]; intraciliary transport [GO:0042073]; intraciliary transport involved in cilium assembly [GO:0035735]; kidney development [GO:0001822]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of defense response to virus [GO:0050687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; negative regulation of type I interferon production [GO:0032480]; neural tube patterning [GO:0021532]; post-anal tail morphogenesis [GO:0036342]; regulation of microtubule cytoskeleton organization [GO:0070507]	26146	2EQO
